Athlete_unique_url,Athlete,Trigram,Country,Event,Gender,Sport,Gold,Silver,Bronze,Total,Participations
/olympics/athletes/sa/nataliya-sadova-1.html,"Sadova,Nataliya",RUS,Russia,Summer,Female,Athletics,1,1,0,2,4
/olympics/athletes/sa/nathalie-santer-1.html,"Santer,Nathalie",ITA,Italy,Winter,Female,Biathlon,0,0,0,0,5
/olympics/athletes/sa/nicolien-sauerbreij-1.html,"Sauerbreij,Nicolien",NED,Netherlands,Winter,Female,Snowboarding,1,0,0,1,4
/olympics/athletes/sa/nino-salukvadze-1.html,"Salukvadze,Nino",GEO,Georgia,Summer,Female,Shooting,0,0,1,1,6
/olympics/athletes/sa/orjan-sandler-1.html,"Sandler,Arjan",SWE,Sweden,Winter,Male,Speed Skating,0,0,1,1,5
/olympics/athletes/sa/sami-salo-1.html,"Salo,Sami",FIN,Finland,Winter,Male,Ice Hockey,0,1,2,3,4
/olympics/athletes/sa/tae-satoya-1.html,"Satoya,Tae",JPN,Japan,Winter,Female,Freestyle Skiing,1,0,1,2,5
/olympics/athletes/sa/tessa-sanderson-1.html,"Sanderson,Tessa",GBR,Great Britain,Summer,Female,Athletics,1,0,0,1,6
/olympics/athletes/sa/toivo-salonen-1.html,"Salonen,Toivo",FIN,Finland,Winter,Male,Speed Skating,0,0,1,1,4
/olympics/athletes/sa/viktor-saneyev-1.html,"Saneyev,Viktor",URS,Soviet Union,Summer,Male,Athletics,3,1,0,4,4
/olympics/athletes/sa/vladimir-samsonov-1.html,"Samsonov,Vladimir",BLR,Belarus,Summer,Male,Table Tennis,0,0,0,0,6
/olympics/athletes/sc/angela-schmidt-foster-1.html,"Schmidt-Foster,Angela",CAN,Canada,Winter,Female,Cross Country Skiing,0,0,0,0,4
/olympics/athletes/sc/christian-schwarzer-1.html,"Schwarzer,Christian",GER,Germany,Summer,Male,Handball,0,1,0,1,4
/olympics/athletes/sc/daniele-scarpa-1.html,"Scarpa,Daniele",ITA,Italy,Summer,Male,Canoeing,1,1,0,2,4
/olympics/athletes/sc/danielle-scott-arruda-1.html,"Scott-Arruda,Danielle",USA,United States,Summer,Female,Volleyball,0,2,0,2,5
/olympics/athletes/sc/denisa-scerbova-rosolova-1.html,"A Aerbova-RosolovA,Denisa",CZE,Czech Republic,Summer,Female,Athletics,0,0,0,0,4
/olympics/athletes/sc/elke-schall-wosik-1.html,"Schall-Wosik,Elke",GER,Germany,Summer,Female,Table Tennis,0,0,0,0,5
/olympics/athletes/sc/franz-schuler-1.html,"Schuler,Franz",AUT,Austria,Winter,Male,Biathlon,0,0,0,0,4
/olympics/athletes/sc/georges-schneider-1.html,"Schneider,Georges",SUI,Switzerland,Winter,Male,Alpine Skiing,0,0,0,0,4
/olympics/athletes/sc/giovanni-scalzo-1.html,"Scalzo,Giovanni",ITA,Italy,Summer,Male,Fencing,1,1,2,4,4
/olympics/athletes/sc/herman-schultz-1.html,"Schultz,Herman",MON,Monaco,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/sc/jenny-schmidgall-potter-1.html,"Schmidgall-Potter,Jenny",USA,United States,Winter,Female,Ice Hockey,1,2,1,4,4
/olympics/athletes/sc/lotta-schelin-1.html,"Schelin,Lotta",SWE,Sweden,Summer,Female,Football,0,1,0,1,4
/olympics/athletes/sc/luis-scola-1.html,"Scola,Luis",ARG,Argentina,Summer,Male,Basketball,1,0,1,2,4
/olympics/athletes/sc/manfred-schmid-1.html,"Schmid,Manfred",AUT,Austria,Winter,Male,Luge,1,1,0,2,4
/olympics/athletes/sc/markus-schiegl-1.html,"Schiegl,Markus",AUT,Austria,Winter,Male,Luge,0,0,0,0,5
/olympics/athletes/sc/marlies-schild-1.html,"Schild,Marlies",AUT,Austria,Winter,Female,Alpine Skiing,0,3,1,4,4
/olympics/athletes/sc/martin-schmitt-1.html,"Schmitt,Martin",GER,Germany,Winter,Male,Ski Jumping,1,2,0,3,4
/olympics/athletes/sc/martin-schutzenauer-1.html,"SchA14tzenauer,Martin",AUT,Austria,Winter,Male,Bobsleigh,0,0,0,0,4
/olympics/athletes/sc/norb-schemansky-1.html,"Schemansky,Norb",USA,United States,Summer,Male,Weightlifting,1,1,2,4,4
/olympics/athletes/sc/oscar-schmidt-1.html,"Schmidt,Oscar",BRA,Brazil,Summer,Male,Basketball,0,0,0,0,5
/olympics/athletes/sc/peter-schep-1.html,"Schep,Peter",NED,Netherlands,Summer,Male,Cycling,0,0,0,0,4
/olympics/athletes/sc/ralf-schumann-1.html,"Schumann,Ralf",GER,Germany,Summer,Male,Shooting,3,1,0,4,6
/olympics/athletes/sc/robert-scheidt-1.html,"Scheidt,Robert",BRA,Brazil,Summer,Male,Sailing,2,2,1,5,6
/olympics/athletes/sc/roland-schoeman-1.html,"Schoeman,Roland",RSA,South Africa,Summer,Male,Swimming,1,1,1,3,4
/olympics/athletes/sc/sarah-schleper-1.html,"Schleper,Sarah",USA,United States,Winter,Female,Alpine Skiing,0,0,0,0,4
/olympics/athletes/sc/sherraine-schalm-mackay-1.html,"Schalm-MacKay,Sherraine",CAN,Canada,Summer,Female,Fencing,0,0,0,0,4
/olympics/athletes/sc/simon-schoch-1.html,"Schoch,Simon",SUI,Switzerland,Winter,Male,Snowboarding,0,1,0,1,4
/olympics/athletes/sc/tobias-schiegl-1.html,"Schiegl,Tobias",AUT,Austria,Winter,Male,Luge,0,0,0,0,5
/olympics/athletes/sc/uffe-schultz-larsen-1.html,"Schultz Larsen,Uffe",DEN,Denmark,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/sc/viktors-scerbatihs-1.html,"A Aerbatihs,Viktors",LAT,Latvia,Summer,Male,Weightlifting,0,1,1,2,4
/olympics/athletes/sc/werner-schlager-1.html,"Schlager,Werner",AUT,Austria,Summer,Male,Table Tennis,0,0,0,0,5
/olympics/athletes/sc/ylenia-scapin-1.html,"Scapin,Ylenia",ITA,Italy,Summer,Female,Judo,0,0,2,2,4
/olympics/athletes/se/alessandra-sensini-1.html,"Sensini,Alessandra",ITA,Italy,Summer,Female,Sailing,1,1,2,4,6
/olympics/athletes/se/edgar-seligman-1.html,"Seligman,Edgar",GBR,Great Britain,Summer,Male,Fencing,0,3,0,3,5
/olympics/athletes/se/greg-searle-1.html,"Searle,Greg",GBR,Great Britain,Summer,Male,Rowing,1,0,2,3,4
/olympics/athletes/se/hanna-maria-seppala-1.html,"SeppAlA,Hanna-Maria",FIN,Finland,Summer,Female,Swimming,0,0,0,0,5
/olympics/athletes/se/jean-francois-senecal-1.html,"SAnAcal,Jean-FranAois",CAN,Canada,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/se/juan-segui-1.html,"SeguA,Juan",ESP,Spain,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/se/julia-sebestyen-1.html,"SebestyAn,JAolia",HUN,Hungary,Winter,Female,Figure Skating,0,0,0,0,4
/olympics/athletes/se/larry-sengstock-1.html,"Sengstock,Larry",AUS,Australia,Summer,Male,Basketball,0,0,0,0,4
/olympics/athletes/se/maria-fernanda-sesto-1.html,"Sesto,MarAa Fernanda",ARG,Argentina,Summer,Female,Sailing,0,0,0,0,4
/olympics/athletes/se/mathias-seger-1.html,"Seger,Mathias",SUI,Switzerland,Winter,Male,Ice Hockey,0,0,0,0,4
/olympics/athletes/se/patrice-servelle-1.html,"Servelle,Patrice",MON,Monaco,Winter,Male,Bobsleigh,0,0,0,0,4
/olympics/athletes/se/rex-sellers-1.html,"Sellers,Rex",NZL,New Zealand,Summer,Male,Sailing,1,1,0,2,4
/olympics/athletes/se/roman-sebrle-1.html,"A ebrle,Roman",CZE,Czech Republic,Summer,Male,Athletics,1,1,0,2,4
/olympics/athletes/se/saban-sejdi-1.html,"Sejdi,A aban",YUG,Yugoslavia,Summer,Male,Wrestling,0,0,2,2,4
/olympics/athletes/se/seo-jong-ho-1.html,"Seo,Jong-Ho",KOR,South Korea,Summer,Male,Hockey,0,1,0,1,4
/olympics/athletes/se/teemu-selanne-1.html,"SelAnne,Teemu",FIN,Finland,Winter,Male,Ice Hockey,0,1,3,4,6
/olympics/athletes/se/yoel-sela-1.html,"Sela,Yoel",ISR,Israel,Summer,Male,Sailing,0,0,0,0,4
/olympics/athletes/sg/romano-sgheiz-1.html,"Sgheiz,Romano",ITA,Italy,Summer,Male,Rowing,1,0,1,2,4
