pays Name,pays Code,série Name,série Code,2016 [YR2016]
Saint-Kitts-et-Nevis,KNA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2103625730.46131
Saint-Marin,SMR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1254000000
Saint-Martin (fr),MAF,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Saint-Vincent-et-les Grenadines,VCT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1760684416.4315
Samoa,WSM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1841373300
Samoa américaines,ASM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,632000000
Sao Tomé-et-Principe,STP,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3924092642373.5
Sénégal,SEN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,6346461990100
Serbie,SRB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3210826400000
Seychelles,SYC,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,8657825000
Sierra Leone,SLE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,9029893715774.58
Singapour,SGP,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,402159800000
Sint Maarten (Dutch part),SXM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Slovénie,SVN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,38138641100
Somalie,SOM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Soudan,SDN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,31897794787.2
Soudan du Sud,SSD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Sri Lanka,LKA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,9012026000000
Suède,SWE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4039000000000
Suisse,CHE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,669638977000
Suriname,SUR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,9426000000
Swaziland,SWZ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,40462111200
Tadjikistan,TJK,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,5878730400
Tanzanie,TZA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,47174902000000
Tchad,TCD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,5180557374000
Thaïlande,THA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,9808878000000
Timor-Leste,TLS,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1697000000
Togo,TGO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1526257900000
Tonga,TON,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,829000000
Trinité-et-Tobago,TTO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,91939201302.729
Tunisie,TUN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,69622000000
Turkménistan,TKM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,51249470416.2
Turquie,TUR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1576365403000
Tuvalu,TUV,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,37000000
Ukraine,UKR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,984016000000
Uruguay,URY,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,680009877400
Vanuatu,VUT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,63361310000
Venezuela,VEN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Viet Nam,VNM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3.05447E+15
"Yémen, Rép. du",YEM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,236555102300
Zambie,ZMB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,129515700000
Zimbabwe,ZWE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,14182495050.2365
,,,,
,,,,
,,,,
Data from Database: Indicateurs du développement dans le monde,,,,
Last Updated: 03/01/2018,,,,
